Location,Airport
TD Garden,BOS
ORACLE Arena,OAK
Spectrum Center,CLT
Little Caesars Arena,DTW
Bankers Life Fieldhouse,IND
Amway Center,MCO
Madison Square Garden,JFK
Scotiabank Arena,YYZ
Toyota Center,IAH
AT+ACY-T Center,SAT
Golden 1 Center,SMF
Staples Center,LAX
Talking Stick Resort Arena,PHX
Wells Fargo Center,PHL
Capital One Arena,DCA
Moda Center,PDX
Barclays Center,JFK
FedExForum,MEM
Target Center,MSP
Smoothie King Center,MSY
Fiserv Forum,MKE
Vivint Smart Home Arena,SLC
AmericanAirlines Arena,MIA
United Center,ORD
American Airlines Center,DFW
Pepsi Center,DEN
Chesapeake Energy Arena,OKC
State Farm Arena,ATL
Quicken Loans Arena,CLE
The O2 Arena,LCY
Arena Ciudad de Mexico,MEX
